epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,128.221,0.93172,0.92899,1.67243,0.98835,0,0.76882,0.77778,0.76141,0.50763,0.76882,0.77778,0.71842,0.47208,1.29287,2.65646,1.72167,1.20411,0,0.000635544,0.000635544,0.000635544
77,129.847,0.77785,0.88793,1.57825,0.962,0,0.76882,0.77778,0.76141,0.50763,0.76882,0.77778,0.71842,0.47208,1.29287,2.65646,1.72167,1.20411,0,0.000621791,0.000621791,0.000621791
78,131.53,0.85403,0.93573,1.69569,0.98921,0,0.76104,0.77778,0.76664,0.53871,0.76104,0.77778,0.73521,0.45996,1.21393,2.87605,1.66037,1.19463,0,0.000608038,0.000608038,0.000608038
79,133.19,0.84077,0.81156,1.50566,1.01136,0,0.76104,0.77778,0.76664,0.53871,0.76104,0.77778,0.73521,0.45996,1.21393,2.87605,1.66037,1.19463,0,0.000594286,0.000594286,0.000594286
80,134.837,0.83313,0.80821,1.54746,0.992,0,0.87366,0.76947,0.79697,0.58462,0.87366,0.76947,0.79697,0.49046,1.14545,2.70574,1.67826,1.1809,0,0.000580533,0.000580533,0.000580533
81,136.433,0.90628,0.86591,1.49858,1.10546,0,0.87366,0.76947,0.79697,0.58462,0.87366,0.76947,0.79697,0.49046,1.14545,2.70574,1.67826,1.1809,0,0.00056678,0.00056678,0.00056678
82,138.067,0.90361,0.99146,1.69585,0.95864,0,0.77153,0.77778,0.79676,0.51975,0.77153,0.77778,0.78234,0.52057,1.14515,2.53852,1.67108,1.22914,0,0.000553027,0.000553027,0.000553027
83,139.632,0.71513,0.90968,1.46061,0.92535,0,0.77153,0.77778,0.79676,0.51975,0.77153,0.77778,0.78234,0.52057,1.14515,2.53852,1.67108,1.22914,0,0.000539275,0.000539275,0.000539275
84,141.21,0.79261,0.87122,1.52238,0.9701,0,0.84597,0.66667,0.7838,0.52929,0.84597,0.66667,0.76959,0.49825,1.16281,2.44179,1.60665,1.21586,0,0.000525522,0.000525522,0.000525522
85,142.768,0.79568,0.82881,1.60006,1.06463,0,0.84597,0.66667,0.7838,0.52929,0.84597,0.66667,0.76959,0.49825,1.16281,2.44179,1.60665,1.21586,0,0.000511769,0.000511769,0.000511769
86,144.383,0.78841,0.71438,1.56342,1.0195,0,0.63483,0.77309,0.72952,0.49657,0.63483,0.77309,0.71702,0.44847,1.20586,2.48922,1.58596,1.2198,0,0.000498016,0.000498016,0.000498016
87,146.167,0.76064,0.8554,1.44485,0.97354,0,0.63483,0.77309,0.72952,0.49657,0.63483,0.77309,0.71702,0.44847,1.20586,2.48922,1.58596,1.2198,0,0.000484263,0.000484263,0.000484263
88,147.837,0.77531,0.79033,1.50024,0.9737,0,0.6948,0.76045,0.72853,0.49381,0.6948,0.76045,0.71878,0.46834,1.20375,2.53898,1.56942,1.21871,0,0.000470511,0.000470511,0.000470511
